Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011195 | lrm: 1.00 | dt: 21820ms | tok/sec: 24,027 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.898225 | lrm: 1.00 | dt: 547ms | tok/sec: 957,915 | mfu: 23.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.563100 | lrm: 1.00 | dt: 631ms | tok/sec: 831,499 | mfu: 20.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.177384 | lrm: 1.00 | dt: 576ms | tok/sec: 910,841 | mfu: 22.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.813216 | lrm: 1.00 | dt: 625ms | tok/sec: 838,825 | mfu: 20.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.508244 | lrm: 1.00 | dt: 597ms | tok/sec: 877,826 | mfu: 21.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.265855 | lrm: 1.00 | dt: 598ms | tok/sec: 877,150 | mfu: 21.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.064496 | lrm: 1.00 | dt: 615ms | tok/sec: 851,971 | mfu: 20.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.899755 | lrm: 1.00 | dt: 605ms | tok/sec: 866,548 | mfu: 20.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.758037 | lrm: 1.00 | dt: 621ms | tok/sec: 844,738 | mfu: 20.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.638352 | lrm: 1.00 | dt: 607ms | tok/sec: 864,223 | mfu: 20.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.538152 | lrm: 1.00 | dt: 616ms | tok/sec: 850,951 | mfu: 20.6% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.450664 | lrm: 1.00 | dt: 620ms | tok/sec: 845,289 | mfu: 20.4% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.373961 | lrm: 1.00 | dt: 610ms | tok/sec: 859,533 | mfu: 20.8% | epoch: 1 | remaining: 298s    
step 00046 (7.1%) | loss: 5.484614 | lrm: 1.00 | dt: 606ms | tok/sec: 864,473 | mfu: 20.9% | epoch: 1 | remaining: 278s    
step 00047 (7.3%) | loss: 5.467572 | lrm: 1.00 | dt: 611ms | tok/sec: 857,655 | mfu: 20.7% | epoch: 1 | remaining: 277s    
step 00048 (7.5%) | loss: 5.449219 | lrm: 1.00 | dt: 606ms | tok/sec: 864,983 | mfu: 20.9% | epoch: 1 | remaining: 277s    
step 00049 (7.7%) | loss: 5.430066 | lrm: 1.00 | dt: 615ms | tok/sec: 853,107 | mfu: 20.6% | epoch: 1 | remaining: 276s    
step 00050 (7.9%) | loss: 5.410968 | lrm: 1.00 | dt: 618ms | tok/sec: 849,025 | mfu: 20.5% | epoch: 1 | remaining: 276s    
step 00051 (8.1%) | loss: 5.392588 | lrm: 1.00 | dt: 611ms | tok/sec: 858,657 | mfu: 20.7% | epoch: 1 | remaining: 275s    
step 00052 (8.3%) | loss: 5.373515 | lrm: 1.00 | dt: 608ms | tok/sec: 862,115 | mfu: 20.8% | epoch: 1 | remaining: 274s    
step 00053 (8.5%) | loss: 5.354871 | lrm: 1.00 | dt: 611ms | tok/sec: 857,658 | mfu: 20.7% | epoch: 1 | remaining: 274s    
step 00054 (8.8%) | loss: 5.334477 | lrm: 1.00 | dt: 610ms | tok/sec: 858,936 | mfu: 20.8% | epoch: 1 | remaining: 273s    
step 00055 (9.0%) | loss: 5.316357 | lrm: 1.00 | dt: 608ms | tok/sec: 861,774 | mfu: 20.8% | epoch: 1 | remaining: 273s    
step 00056 (9.2%) | loss: 5.297086 | lrm: 1.00 | dt: 614ms | tok/sec: 854,038 | mfu: 20.6% | epoch: 1 | remaining: 272s    
step 00057 (9.4%) | loss: 5.276732 | lrm: 1.00 | dt: 614ms | tok/sec: 853,345 | mfu: 20.6% | epoch: 1 | remaining: 271s    
step 00058 (9.6%) | loss: 5.258895 | lrm: 1.00 | dt: 618ms | tok/sec: 848,772 | mfu: 20.5% | epoch: 1 | remaining: 271s    
step 00059 (9.8%) | loss: 5.242003 | lrm: 1.00 | dt: 617ms | tok/sec: 849,980 | mfu: 20.5% | epoch: 1 | remaining: 270s    
step 00060 (10.0%) | loss: 5.222295 | lrm: 1.00 | dt: 615ms | tok/sec: 853,184 | mfu: 20.6% | epoch: 1 | remaining: 269s    
step 00061 (10.2%) | loss: 5.202945 | lrm: 1.00 | dt: 614ms | tok/sec: 853,327 | mfu: 20.6% | epoch: 1 | remaining: 269s    
step 00062 (10.4%) | loss: 5.178960 | lrm: 1.00 | dt: 616ms | tok/sec: 850,429 | mfu: 20.5% | epoch: 1 | remaining: 268s    
step 00063 (10.6%) | loss: 5.162775 | lrm: 1.00 | dt: 617ms | tok/sec: 849,356 | mfu: 20.5% | epoch: 1 | remaining: 268s    
step 00064 (10.8%) | loss: 5.142934 | lrm: 1.00 | dt: 622ms | tok/sec: 842,405 | mfu: 20.4% | epoch: 1 | remaining: 267s    
step 00065 (11.0%) | loss: 5.124210 | lrm: 1.00 | dt: 620ms | tok/sec: 845,953 | mfu: 20.4% | epoch: 1 | remaining: 266s    
step 00066 (11.2%) | loss: 5.105030 | lrm: 1.00 | dt: 615ms | tok/sec: 852,844 | mfu: 20.6% | epoch: 1 | remaining: 266s    
step 00067 (11.4%) | loss: 5.088053 | lrm: 1.00 | dt: 610ms | tok/sec: 859,869 | mfu: 20.8% | epoch: 1 | remaining: 265s    
step 00068 (11.6%) | loss: 5.067892 | lrm: 1.00 | dt: 603ms | tok/sec: 869,577 | mfu: 21.0% | epoch: 1 | remaining: 265s    
step 00069 (11.8%) | loss: 5.047886 | lrm: 1.00 | dt: 600ms | tok/sec: 873,369 | mfu: 21.1% | epoch: 1 | remaining: 264s    
step 00070 (12.0%) | loss: 5.028661 | lrm: 1.00 | dt: 603ms | tok/sec: 869,544 | mfu: 21.0% | epoch: 1 | remaining: 263s    
step 00071 (12.2%) | loss: 5.013514 | lrm: 1.00 | dt: 603ms | tok/sec: 869,133 | mfu: 21.0% | epoch: 1 | remaining: 263s    
step 00072 (12.4%) | loss: 4.996793 | lrm: 1.00 | dt: 609ms | tok/sec: 861,140 | mfu: 20.8% | epoch: 1 | remaining: 262s    
step 00073 (12.6%) | loss: 4.979750 | lrm: 1.00 | dt: 612ms | tok/sec: 856,523 | mfu: 20.7% | epoch: 1 | remaining: 261s    
step 00074 (12.8%) | loss: 4.968135 | lrm: 1.00 | dt: 608ms | tok/sec: 862,753 | mfu: 20.8% | epoch: 1 | remaining: 261s    
step 00075 (13.0%) | loss: 4.958363 | lrm: 1.00 | dt: 605ms | tok/sec: 866,329 | mfu: 20.9% | epoch: 1 | remaining: 260s    
step 00076 (13.2%) | loss: 4.955192 | lrm: 1.00 | dt: 602ms | tok/sec: 870,907 | mfu: 21.0% | epoch: 1 | remaining: 260s    
step 00077 (13.4%) | loss: 4.942324 | lrm: 1.00 | dt: 613ms | tok/sec: 855,517 | mfu: 20.7% | epoch: 1 | remaining: 259s    
step 00078 (13.6%) | loss: 4.925633 | lrm: 1.00 | dt: 607ms | tok/sec: 863,653 | mfu: 20.9% | epoch: 1 | remaining: 258s    
step 00079 (13.8%) | loss: 4.912003 | lrm: 1.00 | dt: 608ms | tok/sec: 862,138 | mfu: 20.8% | epoch: 1 | remaining: 258s    
step 00080 (14.0%) | loss: 4.906768 | lrm: 1.00 | dt: 603ms | tok/sec: 869,725 | mfu: 21.0% | epoch: 1 | remaining: 257s    
step 00081 (14.2%) | loss: 4.897605 | lrm: 1.00 | dt: 605ms | tok/sec: 866,036 | mfu: 20.9% | epoch: 1 | remaining: 257s    
step 00082 (14.5%) | loss: 4.885100 | lrm: 1.00 | dt: 608ms | tok/sec: 862,296 | mfu: 20.8% | epoch: 1 | remaining: 256s    
step 00083 (14.7%) | loss: 4.868372 | lrm: 1.00 | dt: 610ms | tok/sec: 859,517 | mfu: 20.8% | epoch: 1 | remaining: 255s    
step 00084 (14.9%) | loss: 4.853399 | lrm: 1.00 | dt: 610ms | tok/sec: 860,118 | mfu: 20.8% | epoch: 1 | remaining: 255s    
step 00085 (15.1%) | loss: 4.843316 | lrm: 1.00 | dt: 608ms | tok/sec: 861,766 | mfu: 20.8% | epoch: 1 | remaining: 254s    
step 00086 (15.3%) | loss: 4.829622 | lrm: 1.00 | dt: 613ms | tok/sec: 855,942 | mfu: 20.7% | epoch: 1 | remaining: 254s    
step 00087 (15.5%) | loss: 4.818861 | lrm: 1.00 | dt: 611ms | tok/sec: 857,914 | mfu: 20.7% | epoch: 1 | remaining: 253s    
step 00088 (15.7%) | loss: 4.804115 | lrm: 1.00 | dt: 603ms | tok/sec: 869,286 | mfu: 21.0% | epoch: 1 | remaining: 252s    
step 00089 (15.9%) | loss: 4.793158 | lrm: 1.00 | dt: 617ms | tok/sec: 850,071 | mfu: 20.5% | epoch: 1 | remaining: 252s    
step 00090 (16.1%) | loss: 4.795589 | lrm: 1.00 | dt: 603ms | tok/sec: 869,076 | mfu: 21.0% | epoch: 1 | remaining: 251s    
step 00091 (16.3%) | loss: 4.789568 | lrm: 1.00 | dt: 610ms | tok/sec: 858,921 | mfu: 20.8% | epoch: 1 | remaining: 251s    
step 00092 (16.5%) | loss: 4.780099 | lrm: 1.00 | dt: 607ms | tok/sec: 863,169 | mfu: 20.9% | epoch: 1 | remaining: 250s    
step 00093 (16.7%) | loss: 4.769958 | lrm: 1.00 | dt: 606ms | tok/sec: 864,528 | mfu: 20.9% | epoch: 1 | remaining: 249s    
step 00094 (16.9%) | loss: 4.756239 | lrm: 1.00 | dt: 610ms | tok/sec: 858,940 | mfu: 20.8% | epoch: 1 | remaining: 249s    
step 00095 (17.1%) | loss: 4.745574 | lrm: 1.00 | dt: 611ms | tok/sec: 858,180 | mfu: 20.7% | epoch: 1 | remaining: 248s    
step 00096 (17.3%) | loss: 4.738119 | lrm: 1.00 | dt: 608ms | tok/sec: 862,108 | mfu: 20.8% | epoch: 1 | remaining: 248s    
step 00097 (17.5%) | loss: 4.732992 | lrm: 1.00 | dt: 616ms | tok/sec: 850,624 | mfu: 20.6% | epoch: 1 | remaining: 247s    
step 00098 (17.7%) | loss: 4.723673 | lrm: 1.00 | dt: 617ms | tok/sec: 849,635 | mfu: 20.5% | epoch: 1 | remaining: 246s    
step 00099 (17.9%) | loss: 4.712025 | lrm: 1.00 | dt: 608ms | tok/sec: 861,850 | mfu: 20.8% | epoch: 1 | remaining: 246s    
step 00100 (18.1%) | loss: 4.703165 | lrm: 1.00 | dt: 613ms | tok/sec: 855,881 | mfu: 20.7% | epoch: 1 | remaining: 245s    
step 00101 (18.3%) | loss: 4.689900 | lrm: 1.00 | dt: 602ms | tok/sec: 870,625 | mfu: 21.0% | epoch: 1 | remaining: 244s    
step 00102 (18.5%) | loss: 4.683597 | lrm: 1.00 | dt: 619ms | tok/sec: 847,166 | mfu: 20.5% | epoch: 1 | remaining: 244s    
step 00103 (18.7%) | loss: 4.672062 | lrm: 1.00 | dt: 608ms | tok/sec: 862,431 | mfu: 20.8% | epoch: 1 | remaining: 243s    
step 00104 (18.9%) | loss: 4.661478 | lrm: 1.00 | dt: 616ms | tok/sec: 850,536 | mfu: 20.6% | epoch: 1 | remaining: 243s    
step 00105 (19.1%) | loss: 4.650064 | lrm: 1.00 | dt: 622ms | tok/sec: 842,573 | mfu: 20.4% | epoch: 1 | remaining: 242s    
step 00106 (19.3%) | loss: 4.640128 | lrm: 1.00 | dt: 618ms | tok/sec: 848,717 | mfu: 20.5% | epoch: 1 | remaining: 241s    
step 00107 (19.5%) | loss: 4.634258 | lrm: 1.00 | dt: 611ms | tok/sec: 858,709 | mfu: 20.7% | epoch: 1 | remaining: 241s    
step 00108 (19.7%) | loss: 4.626550 | lrm: 1.00 | dt: 606ms | tok/sec: 865,652 | mfu: 20.9% | epoch: 1 | remaining: 240s    
step 00109 (19.9%) | loss: 4.619527 | lrm: 1.00 | dt: 614ms | tok/sec: 853,216 | mfu: 20.6% | epoch: 1 | remaining: 240s    
step 00110 (20.2%) | loss: 4.606562 | lrm: 1.00 | dt: 611ms | tok/sec: 858,663 | mfu: 20.7% | epoch: 1 | remaining: 239s    
step 00111 (20.4%) | loss: 4.594571 | lrm: 1.00 | dt: 616ms | tok/sec: 850,572 | mfu: 20.6% | epoch: 1 | remaining: 238s    
step 00112 (20.6%) | loss: 4.582667 | lrm: 1.00 | dt: 617ms | tok/sec: 849,914 | mfu: 20.5% | epoch: 1 | remaining: 238s    
step 00113 (20.8%) | loss: 4.577361 | lrm: 1.00 | dt: 621ms | tok/sec: 844,181 | mfu: 20.4% | epoch: 1 | remaining: 237s    
step 00114 (21.0%) | loss: 4.563479 | lrm: 1.00 | dt: 613ms | tok/sec: 855,700 | mfu: 20.7% | epoch: 1 | remaining: 236s    
step 00115 (21.2%) | loss: 4.557158 | lrm: 1.00 | dt: 610ms | tok/sec: 859,466 | mfu: 20.8% | epoch: 1 | remaining: 236s    
step 00116 (21.4%) | loss: 4.552387 | lrm: 1.00 | dt: 618ms | tok/sec: 848,448 | mfu: 20.5% | epoch: 1 | remaining: 235s    
step 00117 (21.6%) | loss: 4.545161 | lrm: 1.00 | dt: 620ms | tok/sec: 845,807 | mfu: 20.4% | epoch: 1 | remaining: 235s    
step 00118 (21.8%) | loss: 4.541210 | lrm: 1.00 | dt: 618ms | tok/sec: 848,594 | mfu: 20.5% | epoch: 1 | remaining: 234s    
step 00119 (22.0%) | loss: 4.535129 | lrm: 1.00 | dt: 626ms | tok/sec: 837,920 | mfu: 20.2% | epoch: 1 | remaining: 233s    
step 00120 (22.2%) | loss: 4.532476 | lrm: 1.00 | dt: 608ms | tok/sec: 862,015 | mfu: 20.8% | epoch: 1 | remaining: 233s    
step 00121 (22.4%) | loss: 4.524426 | lrm: 1.00 | dt: 619ms | tok/sec: 847,051 | mfu: 20.5% | epoch: 1 | remaining: 232s    
step 00122 (22.6%) | loss: 4.512544 | lrm: 1.00 | dt: 619ms | tok/sec: 847,411 | mfu: 20.5% | epoch: 1 | remaining: 232s    
step 00123 (22.8%) | loss: 4.504444 | lrm: 1.00 | dt: 613ms | tok/sec: 855,486 | mfu: 20.7% | epoch: 1 | remaining: 231s    
step 00124 (23.0%) | loss: 4.500270 | lrm: 1.00 | dt: 621ms | tok/sec: 844,409 | mfu: 20.4% | epoch: 1 | remaining: 230s    
step 00125 (23.2%) | loss: 4.492516 | lrm: 1.00 | dt: 618ms | tok/sec: 848,693 | mfu: 20.5% | epoch: 1 | remaining: 230s    
step 00126 (23.4%) | loss: 4.489013 | lrm: 1.00 | dt: 618ms | tok/sec: 848,794 | mfu: 20.5% | epoch: 1 | remaining: 229s    
step 00127 (23.6%) | loss: 4.482922 | lrm: 1.00 | dt: 621ms | tok/sec: 843,699 | mfu: 20.4% | epoch: 1 | remaining: 228s    
step 00128 (23.9%) | loss: 4.473348 | lrm: 1.00 | dt: 610ms | tok/sec: 859,977 | mfu: 20.8% | epoch: 1 | remaining: 228s    
step 00129 (24.1%) | loss: 4.470056 | lrm: 1.00 | dt: 626ms | tok/sec: 837,384 | mfu: 20.2% | epoch: 1 | remaining: 227s    
step 00130 (24.3%) | loss: 4.464039 | lrm: 1.00 | dt: 623ms | tok/sec: 841,181 | mfu: 20.3% | epoch: 1 | remaining: 227s    
step 00131 (24.5%) | loss: 4.461446 | lrm: 1.00 | dt: 618ms | tok/sec: 848,537 | mfu: 20.5% | epoch: 1 | remaining: 226s    
step 00132 (24.7%) | loss: 4.456997 | lrm: 1.00 | dt: 616ms | tok/sec: 851,083 | mfu: 20.6% | epoch: 1 | remaining: 225s    
step 00133 (24.9%) | loss: 4.451278 | lrm: 1.00 | dt: 622ms | tok/sec: 842,473 | mfu: 20.4% | epoch: 1 | remaining: 225s    
step 00134 (25.1%) | loss: 4.444293 | lrm: 1.00 | dt: 624ms | tok/sec: 840,806 | mfu: 20.3% | epoch: 1 | remaining: 224s    
step 00135 (25.3%) | loss: 4.439895 | lrm: 1.00 | dt: 622ms | tok/sec: 842,854 | mfu: 20.4% | epoch: 1 | remaining: 223s    
step 00136 (25.5%) | loss: 4.438285 | lrm: 1.00 | dt: 616ms | tok/sec: 850,693 | mfu: 20.6% | epoch: 1 | remaining: 223s    
step 00137 (25.7%) | loss: 4.437509 | lrm: 1.00 | dt: 622ms | tok/sec: 842,378 | mfu: 20.4% | epoch: 1 | remaining: 222s    
step 00138 (25.9%) | loss: 4.431629 | lrm: 1.00 | dt: 619ms | tok/sec: 846,963 | mfu: 20.5% | epoch: 1 | remaining: 222s    
step 00139 (26.1%) | loss: 4.427238 | lrm: 1.00 | dt: 627ms | tok/sec: 836,694 | mfu: 20.2% | epoch: 1 | remaining: 221s    
step 00140 (26.3%) | loss: 4.419693 | lrm: 1.00 | dt: 621ms | tok/sec: 843,774 | mfu: 20.4% | epoch: 1 | remaining: 220s    
step 00141 (26.5%) | loss: 4.411243 | lrm: 1.00 | dt: 622ms | tok/sec: 842,466 | mfu: 20.4% | epoch: 1 | remaining: 220s    
step 00142 (26.8%) | loss: 4.406771 | lrm: 1.00 | dt: 620ms | tok/sec: 845,122 | mfu: 20.4% | epoch: 1 | remaining: 219s    
step 00143 (27.0%) | loss: 4.409715 | lrm: 1.00 | dt: 623ms | tok/sec: 841,204 | mfu: 20.3% | epoch: 1 | remaining: 219s    
step 00144 (27.2%) | loss: 4.405256 | lrm: 1.00 | dt: 626ms | tok/sec: 837,478 | mfu: 20.2% | epoch: 1 | remaining: 218s    
step 00145 (27.4%) | loss: 4.401694 | lrm: 1.00 | dt: 619ms | tok/sec: 846,511 | mfu: 20.5% | epoch: 1 | remaining: 217s    
step 00146 (27.6%) | loss: 4.395833 | lrm: 1.00 | dt: 622ms | tok/sec: 843,570 | mfu: 20.4% | epoch: 1 | remaining: 217s    
step 00147 (27.8%) | loss: 4.388885 | lrm: 1.00 | dt: 625ms | tok/sec: 839,289 | mfu: 20.3% | epoch: 1 | remaining: 216s    
step 00148 (28.0%) | loss: 4.386043 | lrm: 1.00 | dt: 626ms | tok/sec: 837,997 | mfu: 20.2% | epoch: 1 | remaining: 215s    
step 00149 (28.2%) | loss: 4.379213 | lrm: 1.00 | dt: 623ms | tok/sec: 840,966 | mfu: 20.3% | epoch: 1 | remaining: 215s    
step 00150 (28.4%) | loss: 4.374599 | lrm: 1.00 | dt: 625ms | tok/sec: 839,294 | mfu: 20.3% | epoch: 1 | remaining: 214s    
step 00151 (28.6%) | loss: 4.369265 | lrm: 1.00 | dt: 621ms | tok/sec: 844,383 | mfu: 20.4% | epoch: 1 | remaining: 214s    
step 00152 (28.8%) | loss: 4.364912 | lrm: 1.00 | dt: 630ms | tok/sec: 831,782 | mfu: 20.1% | epoch: 1 | remaining: 213s    
step 00153 (29.0%) | loss: 4.358533 | lrm: 1.00 | dt: 621ms | tok/sec: 844,632 | mfu: 20.4% | epoch: 1 | remaining: 212s    
step 00154 (29.2%) | loss: 4.357533 | lrm: 1.00 | dt: 622ms | tok/sec: 842,742 | mfu: 20.4% | epoch: 1 | remaining: 212s    
step 00155 (29.5%) | loss: 4.354820 | lrm: 1.00 | dt: 625ms | tok/sec: 838,777 | mfu: 20.3% | epoch: 1 | remaining: 211s    
step 00156 (29.7%) | loss: 4.349436 | lrm: 1.00 | dt: 624ms | tok/sec: 839,893 | mfu: 20.3% | epoch: 1 | remaining: 210s    
